"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121"
"1",NA,0,NA,NA,NA,7.1120221143951,8.17058753466409,NA,NA,6.24800408591899,6.4258141571179,0,7.0988908360398,0,0,6.06059712469666,NA,13.4837046955606,11.1815432627546,0,0,NA,0,9.57969886744682,12.8087294173081,14.0512622312693,0,20.8500362292008,NA,12.9453252193039,NA,14.2545616299803,NA,11.8188922279363,NA,NA,0,14.1586810047477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",NA,9.00545240348934,NA,22.2664376987923,NA,NA,NA,20.3804658400134,21.5394288898591,NA,23.5220097189701,NA,14.8173926976689,0,0,21.3604111831195,NA,NA,11.6120788826915,0,0,NA,0,NA,NA,NA,0,21.1282132443835,14.0401913029695,NA,NA,NA,13.75442165956,NA,NA,NA,0,14.7038487298661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",20.5419946101986,11.5556830342927,10.3202278396169,NA,20.2724006712203,NA,NA,21.8016151321825,NA,10.2881866669533,22.8018227694314,NA,21.8750389817271,0,0,21.197581869507,NA,0,0,0,0,0,0,0,0,0,0,12.4472876889705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",NA,NA,9.88924413045479,NA,21.7475805561881,21.8044002588361,NA,22.872267905674,NA,9.85854103129647,NA,NA,NA,0,0,22.8384398527214,26.3135861046594,0,0,0,0,0,0,0,0,0,0,11.9274756944516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",NA,NA,-1.33781811344572,NA,-3.73157036317923,-3.69604560386932,NA,NA,-3.82679865315069,NA,NA,-2.30740036443086,-2.73330722944209,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,-1.61355032004727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-0.672157494726138,0,-0.579686898560573,NA,-1.9959988013958,-1.97687729440413,NA,-1.81450921979637,NA,-0.577887146820956,-2.02922524587282,NA,NA,0,0,NA,-0.741642956747486,0,0,0,0,0,0,0,0,0,0,-0.699163788633792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,NA,-1.94256994007826,NA,-1.95403431704959,NA,-1.36144661448996,0,NA,-1.72372947860356,0,0,0,-1.68423348752249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,-1.56132427777229,NA,NA,NA,-1.26111740611997,-1.17113134884867,0,-1.66921026020818,-1.48277105238054,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",NA,NA,0,-1.23703568377348,-1.27329874183603,-1.10432021012669,-1.22747178980676,-1.08647246713216,NA,0,-1.5091949377216,-1.27658567959083,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-1.05767375191246,-0.98035375942663,0,NA,NA,NA,NA,-1.15193017279408,NA,0,0,0,NA,-0.863653981677995,NA,-1.03613191313983,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
